FID,LSOA21CD,LSOA21NM,borough,mean_AI,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,Shape__Area,Shape__Length
2635,E01002773,Islington 004D,Islington,27.3810657245,28.0407148985,22.8278435179,30.8406589514,6a,1965.46305114,96542.0176391602,1965.46305114178
2636,E01002774,Islington 004E,Islington,22.5634295551,22.8519470213,12.3128602191,36.1420776062,5,3041.7706018,178416.324066162,3041.77060180129
2637,E01002775,Islington 014D,Islington,22.5887353138,22.4421103753,16.0865072405,27.7626667989,5,1927.12642857,118365.964195251,1927.12642857281
2638,E01002776,Islington 014E,Islington,22.0894989522,22.6453644884,19.0511889165,24.6700191604,5,2055.88411761,115762.939292908,2055.88411760605
2639,E01002777,Islington 012A,Islington,23.8884668094,24.2362813917,19.2460676576,28.2564089788,5,1891.0931927,117863.654655457,1891.0931927029
2640,E01002778,Islington 012B,Islington,27.0643887372,26.94019576,24.9007059074,29.8009751121,6a,1785.72754966,104973.972953796,1785.72754965698
2641,E01002779,Islington 012C,Islington,15.286173661,15.8316039425,11.5265995033,18.3443248197,4,2511.24012534,110590.126647949,2511.24012533682
2642,E01002780,Islington 014F,Islington,19.1052817238,19.3485005178,15.5359173131,23.0423966485,4,1657.01811674,78916.9671707153,1657.01811673569
2643,E01002781,Islington 012D,Islington,16.8238413331,16.8638758287,11.4296908585,25.3495973769,4,1805.18845692,91185.1084365845,1805.18845691976
2644,E01002782,Islington 012E,Islington,19.3964596738,19.8364601682,14.2618709936,21.5157429446,4,2011.60311766,88205.8016357422,2011.60311765911
2645,E01002783,Islington 010B,Islington,14.7405085046,14.5097487493,7.10316887772,24.5466568864,3,1367.60253889,98289.385887146,1367.60253888955
2646,E01002784,Islington 010C,Islington,13.6433094412,14.480110729,2.61532925461,19.1536821712,3,2545.64730211,129339.249794006,2545.64730211039
2647,E01002785,Islington 008B,Islington,13.4417342357,13.8804431815,7.60692114948,22.7939582939,3,1761.8863056,142238.392829895,1761.8863055988
2648,E01002786,Islington 010D,Islington,19.8271490133,19.7155725623,13.7457533342,25.1119447392,4,1962.87623153,108814.972045898,1962.87623153173
2649,E01002787,Islington 010E,Islington,18.0623176075,14.8182345271,10.8650399875,33.2025042597,4,2359.41530803,110799.190895081,2359.41530802788
2650,E01002788,Islington 008C,Islington,12.9012071484,13.5507811837,8.85257036976,20.7746800917,3,2965.80294269,122447.094291687,2965.8029426936
2651,E01002789,Islington 008D,Islington,15.1016650317,13.7664129474,10.1745905218,23.5126507692,4,1898.56494757,133624.83265686,1898.56494757377
2652,E01002790,Islington 016D,Islington,26.3631734708,26.8235906405,19.2784904327,34.970773701,6a,2243.92825735,78889.1824417114,2243.92825734778
2653,E01002791,Islington 016E,Islington,32.8830740932,32.1792041034,28.9834871781,40.9187942344,6a,2172.43708767,143211.292015076,2172.43708767335
2654,E01002792,Islington 017E,Islington,21.7450369909,24.6492898502,0,30.4088902769,5,2004.81445147,105319.445388794,2004.81445146716
2655,E01002793,Islington 016F,Islington,27.7988900766,27.50508745,25.8668457244,31.5451280171,6a,2249.11008186,106579.504760742,2249.11008185736
2656,E01002794,Islington 020B,Islington,24.4536499766,26.5116399383,0,33.7630562499,5,2744.70752153,180628.757492065,2744.70752153413
2657,E01002795,Islington 013D,Islington,31.7794292392,31.4038844004,24.6814571238,39.0501934823,6a,2254.71545602,176314.834747314,2254.71545601922
2658,E01002796,Islington 013E,Islington,26.6075356585,26.7130577186,23.1840623008,31.3948259741,6a,1197.7634635,77949.2107315063,1197.76346349856
2659,E01002797,Islington 018B,Islington,19.189371873,17.1413042054,14.6533988156,26.1919567526,4,2123.74055274,108646.800582886,2123.7405527443
2660,E01002798,Islington 018C,Islington,13.7043358606,14.4384759202,6.4615503851,18.2738256801,3,2161.66953443,138490.407592773,2161.66953442552
2661,E01002799,Islington 018D,Islington,20.2565685253,19.7811294711,15.974292789,26.5404760659,5,1845.50719363,84710.6484985352,1845.50719362606
2662,E01002800,Islington 018E,Islington,13.1624647275,13.2429922289,1.95775266327,21.7330824384,3,2329.6872829,82899.1559143066,2329.68728290189
2663,E01002801,Islington 020C,Islington,26.1927874583,26.7228503237,20.5489935774,34.3510417639,6a,2316.72644711,106964.510932922,2316.72644710662
2664,E01002802,Islington 020D,Islington,16.5962992299,18.8254892133,5.60482033658,23.8080996927,4,2686.95261968,108375.919761658,2686.95261967956
